cellule ;charge_CCE;charge_PRB;CQI;débit;NBR_UE;Trafic ;congested ;rsrp;sinr;bler_dl;ho_success_rate;ue_speed;call_drop_rate_pct;status
1;13,62811667;5;10,96071511;0,134373486;0,877257423;2,84E-05;0;-86,88;0,95;14,39;70;30,5;1,95;BAD_HANDOVER
2;67,18707238;90;7,732581998;0,224501342;7,479491531;0,720454574;0;-98,06;1,84;13,74;70;35,8;3,89;CONGESTED
3;78,52677682;61;7,693118082;0,226520851;16,63980058;1,617531896;0;-97,64;0,01;15;70;85;2,97;CONGESTED
4;3,518276868;5;9,264000297;0,244048685;0,99669967;6,44E-06;0;-100,36;1,68;12,07;70;26;1,9;BAD_HANDOVER
5;57,79328821;95;8,590487368;0,274155915;7,886607144;0,927138567;0;-90,67;0,89;11,76;70,1;59,5;4,11;CONGESTED
6;4,931690968;5;8,129534596;0,29462406;0,889399353;0,000183582;0;-106,51;-0,02;12,38;70;93;2,17;BAD_HANDOVER
7;4,629115827;5;12,2893477;0,305502832;0,96875;1,92E-05;0;-86,28;4,51;8,16;79,84;61,8;1,2;BAD_HANDOVER
8;29,91777939;95;12,0202934;0,308930993;68,49748353;9,081031442;0;-98,81;0,71;14,22;70;50,9;4,37;BAD_HANDOVER
9;38,0979205;6;9,937885706;0,323499501;1,307250288;0,027609229;0;-93,4;3;10,79;74,62;58,1;1,48;BAD_HANDOVER
10;61,42133145;95;8,023760611;0,325709105;7,210629802;1,007261515;0;-96,25;0,27;14,11;70;75,4;4,17;CONGESTED
11;3,882409295;5;8,843699111;0,344827592;1;1,19E-06;0;-87,69;3,35;12,19;70;34,7;1,57;BAD_HANDOVER
12;54,35678019;95;10,61041128;0,356370896;7,217755545;1,102873564;0;-105,3;-1,74;15;70;12,5;4,61;CONGESTED
13;59,17578179;94,33333333;8,316446303;0,359216928;8,142288134;1,249079227;0;-96,61;3,46;11,08;70,43;54,7;3,66;CONGESTED
14;55,6861479;94,83333333;7,476149812;0,399504989;7,894309819;1,350487828;0;-96,92;1,01;12,22;70;51;4,1;CONGESTED
15;60,85379084;89,83333333;6,790278682;0,411517143;14,26081998;2,496571779;0;-89,33;2,32;11,68;70;41,8;3,75;CONGESTED
16;70,5231415;77,16666667;7,715717974;0,420589209;3,593178901;0,462760806;0;-100,5;-1,59;15;70;81,3;3,71;CONGESTED
17;44,9355376;91;9,816779881;0,422917038;5,026563148;0,866964459;0;-95,86;3,6;9,9;70,87;4,4;3,51;BAD_HANDOVER
18;51,75526743;94,5;8,70481289;0,426246434;7,067029312;1,287136078;0;-99,39;-0,45;14,16;70;54,4;4,26;CONGESTED
19;63,50575238;88,83333333;7,121264543;0,441674799;15,22800898;2,878439188;0;-94,79;0,89;12,32;70;107;3,93;CONGESTED
20;57,48733142;93,33333333;7,07727512;0,451131612;16,97869578;3,287018061;0;-92,09;2,25;12,47;70;104,7;4,1;CONGESTED
21;4,834447163;5;7,695100208;0,457150817;0,990901572;0,000195861;0;-100,5;-0,96;15;70;97,8;1,96;BAD_HANDOVER
22;3,853593877;5;12,14371107;0,467289716;1;5,96E-06;0;-89,28;6,16;7,87;81,45;77,6;1,13;GOOD_CELL
23;52,03169521;94,77777778;9,792400901;0,481866539;7,467817528;1,537135124;0;-90,49;2,64;11,13;70,07;16,7;4,05;CONGESTED
24;59,25304339;93,16666667;7,571542621;0,49212718;15,6929689;3,314055085;0;-92,49;2,87;10,81;71,6;118,5;3,63;CONGESTED
25;65,86229979;87,83333333;8,357692866;0,518274426;4,785203071;1,038783789;0;-90,5;1,18;13,12;71,94;31,5;3,91;CONGESTED
26;7,142473003;5;11,90458388;0,525159717;0,787497973;0,001214862;0;-98,42;0,99;14,89;70;10,8;1,94;BAD_HANDOVER
27;55,49496705;92,83333333;8,687513771;0,535799503;22,84403253;5,244904399;1;-95,61;0,24;12,31;70;92,1;3,95;CONGESTED
28;51,97737968;92,66666667;8,174218574;0,53611815;17,9592693;4,062395215;1;-99,68;0,12;12,53;70,69;13,3;3,86;CONGESTED
29;50,69392182;91,83333333;9,274753544;0,536327481;6,068485304;1,350035787;0;-96,34;1,18;12,34;70;66,3;4,07;CONGESTED
30;68,5721642;79,33333333;7,307759993;0,538955986;9,220324755;2,093104959;0;-92,35;2,45;11,29;70,98;53,4;3,36;CONGESTED
31;7,537905388;15;11,70182168;0,54141432;1,00644821;0,080781579;0;-98,46;1,96;9,43;78,47;42,6;1,33;BAD_HANDOVER
32;60,12623234;93,83333333;9,116947825;0,54322654;23,08746772;5,382122636;1;-96,98;-1,61;15;70;76,3;4,48;CONGESTED
33;70,2026563;76;7,847741683;0,543918252;17,32600771;4,038771033;1;-98,44;1,23;12,36;70,78;108;3,3;CONGESTED
34;57,68674814;94,5;9,471485041;0,566417336;3,147629075;0,760183692;0;-99,23;1,36;12,97;70;101,1;4,07;CONGESTED
35;4,292284927;5;13,79528419;0,571428597;1;4,77E-07;0;-98,36;0,71;14,13;70;9,4;1,81;BAD_HANDOVER
36;64,46944212;91,66666667;8,846047987;0,574801028;4,697841419;1,153441548;0;-95,06;0,09;14,19;70;20,5;4,06;CONGESTED
37;52,94627279;93,66666667;7,206074081;0,57564944;19,79919414;4,867495418;1;-100,59;-0,9;12,98;70;108,3;4,29;CONGESTED
38;50,79179459;88;12,44182907;0,57827431;4,486138871;1,030810595;0;-93,83;2,59;12,67;70;112,8;3,68;CONGESTED
39;76,77680623;63,16666667;8,455311089;0,578286588;12,69500718;3,14802444;0;-86,7;3,24;9,62;77,55;97;2,33;CONGESTED
40;55,35476954;89;6,413013142;0,583215952;7,524470576;1,366663456;0;-91,29;1,08;13,16;70;100,4;3,84;CONGESTED
41;56,62147346;90,66666667;9,201974555;0,585075259;3,876936274;0,930214405;0;-95,96;1,98;11,27;72,28;53;3,75;CONGESTED
42;50,0100614;90,5;8,515550279;0,594327867;4,766006231;1,161223054;0;-99,44;-0,27;13,88;70;111,1;3,97;CONGESTED
43;59,11014903;87;7,300354441;0,59479177;11,03131084;2,77065289;0;-98,74;0,21;13,73;70;43,9;3,82;CONGESTED
44;56,77499931;94,33333333;9,990806073;0,597823977;3,640752118;0,928163886;0;-86,54;4,92;8,67;78,35;42,4;3,42;CONGESTED
45;57,7479259;90,66666667;8,371143174;0,609773993;13,72905659;3,558686376;0;-94,75;1,54;11,5;70,84;111;3,66;CONGESTED
46;61,10220081;90,83333333;7,474477135;0,613355458;11,93858722;3,131189346;0;-98,18;0,95;12,08;70;85,6;4,08;CONGESTED
47;4,520102158;5;14,9227855;0,613436997;0,997884344;9,86E-05;0;-94,05;0,59;13,46;70;24,5;1,84;BAD_HANDOVER
48;59,05643613;95;11,96196158;0,617058575;6,61795782;1,752141833;0;-84,5;5,12;7,68;80,99;114,3;3,41;CONGESTED
49;35,11502031;53,83333333;8,329460833;0,617814004;12,49305388;2,037477136;0;-94,4;2,23;11,08;74,21;82,4;2,27;BAD_HANDOVER
50;48,92488502;85,33333333;7,736803233;0,625326216;3,841002585;0,952230692;0;-91,91;2,21;11,24;72,57;106,8;3,51;BAD_HANDOVER
51;48,49990805;95;10,56156248;0,633027136;5,974722518;1,621041894;0;-93,5;3,92;9,1;79,26;64,5;3,68;BAD_HANDOVER
52;43,69101649;88,83333333;8,776145377;0,634348392;4,572036159;1,166439772;0;-96,76;-2,59;15;70;51,5;4,31;BAD_HANDOVER
53;74,10895576;82,33333333;7,786672197;0,634652853;12,69777824;3,454108953;0;-100,71;-1,11;14,95;70;6;3,88;CONGESTED
54;61,67680699;91,66666667;9,611617427;0,639698803;4,483839254;1,212437153;0;-96,75;0,15;14,57;70;100,8;4,24;CONGESTED
55;65,81303554;81,33333333;7,826308632;0,65686667;4,946530428;1,373543859;0;-96,04;0,3;15;70;50;3,78;CONGESTED
56;65,28979845;74,5;6,237442569;0,667673409;8,178959048;2,284049869;0;-92,07;2,69;10,81;72,61;91,3;3,06;CONGESTED
57;6,175092114;5,5;7,786175485;0,671232879;1;5,84E-05;0;-90,81;2,13;12,19;70,07;84,7;1,69;BAD_HANDOVER
58;54,98489742;93;6,930717526;0,678687036;10,51680956;3,024745703;0;-90,34;2,83;11,06;72,96;81,8;3,7;CONGESTED
59;55,54206983;91;10,71284129;0,68226409;4,132621895;1,157931328;0;-93,57;1,91;13,47;70;93,4;3,84;CONGESTED
60;30,78785483;68,55555556;9,586949874;0,686728776;2,444583612;0,38602674;0;-90,57;4,24;11,4;71,7;106;2,96;BAD_HANDOVER
61;40,97482409;87,5;7,212093148;0,6938591;2,823693467;0,76241684;0;-98,77;-0,2;13,22;70;88,1;3,89;BAD_HANDOVER
62;66,24610784;82,5;6,710826209;0,70212698;6,879477578;2,025886416;0;-88,74;4,32;8,88;77,56;37,3;3,14;CONGESTED
63;25,27148437;55,33333333;14,48416406;0,703426778;1,057105388;0,163306117;0;-92,44;3,05;10,48;71,91;84,3;2,21;BAD_HANDOVER
64;3,517778236;5;5,236651915;0,707692325;0,984848485;1,10E-05;0;-96,49;0,03;13,74;70;50,2;2,06;BAD_HANDOVER
65;41,3550241;81,33333333;9,178601607;0,716681778;3,044253499;0,824128866;0;-92,56;1;11,6;70;42,3;3,44;BAD_HANDOVER
66;37,07167072;31,66666667;7,123781829;0,723269641;6,092761268;0,82854104;0;-95,38;1,31;11,39;70;69,4;1,63;BAD_HANDOVER
67;61,88107748;89;8,481750846;0,727927744;11,41507138;3,54641366;0;-89,34;2,49;11,88;72,97;17,2;3,7;CONGESTED
68;53,93462017;95;9,180660839;0,729396582;25,05246829;7,840719461;1;-87,4;3,6;10,24;75,68;30,8;3,46;CONGESTED
69;56,13992864;94,33333333;6,728827334;0,729594529;8,044540485;2,511760831;0;-84,07;5,16;9,75;72,14;105,3;3,77;CONGESTED
70;3,185868911;5;10,42595256;0,732142866;1;1,47E-05;0;-101,98;-0,69;14,96;70;118;2,32;BAD_HANDOVER
71;4,386625992;6,333333333;10,91371525;0,732551098;1,000254745;0,000576854;0;-102,22;-0,59;15;70;69,2;2,27;BAD_HANDOVER
